Date;Sites vérifiés;3.3-dev;3.2;3.1;3.0;2.1;2.0;1.9;1.8;<1.8;?
15/06/2010;27447;;;;;;;;;;
07/06/2013;34429;;;;;;;;;;
20/06/2013;34513;;;;;;;;;;
03/12/2013;34641;;;;;;;;;;
15/09/2016;30650;;;;;;;;;;
01/01/2017;30307;;;;;;;;;;
18/03/2017;30004;;;;;;;;;;
20/03/2017;29996;;;;;;;;;;
25/03/2017;29934;;;;;;;;;;
27/03/2017;29921;;;;;;;;;;
30/03/2017;29908;;;;;;;;;;
01/04/2017;29912;;;;;;;;;;
02/04/2017;29901;;;;;;;;;;
03/04/2017;29896;;;;;;;;;;
04/04/2017;29894;;;;;;;;;;
07/04/2017;29907;;;;;;;;;;
08/04/2017;29887;;;;;;;;;;
10/04/2017;29869;;;;;;;;;;
11/04/2017;29858;;;;;;;;;;
13/04/2017;29845;;;;;;;;;;
14/04/2017;29835;;;;;;;;;;
15/04/2017;29830;;;;;;;;;;
16/04/2017;29815;;;;;;;;;;
17/04/2017;29803;;;;;;;;;;
24/03/2018;27830;;2064;5729;8507;;;;;;
25/05/2018;27356;;2214;5610;8387;;;;;;
29/05/2018;27326;;2369;5490;8258;;;;;;
04/06/2018;27298;;2525;5370;8124;;;;;;
07/06/2018;27282;;2540;5356;8117;;;;;;
11/06/2018;27247;;2561;5337;8112;;;;;;
12/06/2018;27238;;2569;5328;8108;;;;;;
15/06/2018;27210;;2589;5308;8095;;;;;;
19/06/2018;27190;;2606;5291;8086;;;;;;
25/06/2018;27113;;2633;5245;8026;;;;;;
27/06/2018;27084;;2642;5241;8017;;;;;;
29/06/2018;27068;;2643;5237;8015;;;;;;
02/07/2018;27053;;2670;5214;8023;;;;;;
03/07/2018;27049;;2685;5206;8029;;;;;;
04/07/2018;27045;;2714;5203;7999;;;;;;
05/07/2018;27048;;2755;5204;7962;;;;;;
06/07/2018;27046;;2853;5203;7860;;;;;;
10/07/2018;27031;;3031;5194;7677;;;;;;
11/07/2018;27029;;3063;5196;7646;;;;;;
12/07/2018;27007;;3070;5193;7625;;;;;;
13/07/2018;26995;;3077;5189;7619;;;;;;
16/07/2018;26963;;3082;5178;7612;;;;;;
17/07/2018;26951;;3082;5174;7603;;;;;;
18/07/2018;26945;;3083;5174;7598;;;;;;
21/07/2018;26904;;3094;5149;7585;;;;;;
24/07/2018;26871;;3111;5130;7565;;;;;;
25/07/2018;26870;;3127;5128;7554;;;;;;
26/07/2018;26850;;3140;5122;7535;;;;;;
30/07/2018;26814;;3162;5112;7510;;;;;;
31/07/2018;26810;;3161;5111;7505;;;;;;
02/08/2018;26782;;3172;5097;7483;;;;;;
03/08/2018;26758;;3172;5086;7478;;;;;;
06/08/2018;26721;;3172;5074;7471;;;;;;
08/08/2018;26698;;3177;5061;7457;;;;;;
11/08/2018;26676;;3184;5045;7439;;;;;;
13/08/2018;26663;;3189;5031;7437;;;;;;
18/08/2018;26618;;3217;5009;7424;;;;;;
24/08/2018;26560;;3230;4997;7385;5826;2520;1632;2;;
27/08/2018;26527;;3234;4992;7357;5797;2543;1618;2;;
29/08/2018;26506;;3238;4981;7341;5775;2555;1607;2;;
