date,version,sites
2018-07-03T23:00:00Z,"7.2",51
2018-07-03T23:00:00Z,"7.1",198
2018-07-03T23:00:00Z,"7.0",646
2018-07-03T23:00:00Z,"5.6",3970
2018-07-03T23:00:00Z,"5.5",669
2018-07-03T23:00:00Z,"5.4",2485
2018-07-03T23:00:00Z,"5.3",2879
2018-07-03T23:00:00Z,"5.2",2999
2018-07-03T23:00:00Z,"5.1",1467
2018-07-03T23:00:00Z,"5.0",17
2018-07-03T23:00:00Z,"4.3",54
2018-07-10T23:00:00Z,"7.2",54
2018-07-10T23:00:00Z,"7.1",211
2018-07-10T23:00:00Z,"7.0",646
2018-07-10T23:00:00Z,"5.6",3961
2018-07-10T23:00:00Z,"5.5",667
2018-07-10T23:00:00Z,"5.4",2470
2018-07-10T23:00:00Z,"5.3",2876
2018-07-10T23:00:00Z,"5.2",2988
2018-07-10T23:00:00Z,"5.1",1442
2018-07-10T23:00:00Z,"5.0",17
2018-07-10T23:00:00Z,"4.3",54
2018-07-17T23:00:00Z,"7.2",56
2018-07-17T23:00:00Z,"7.1",212
2018-07-17T23:00:00Z,"7.0",644
2018-07-17T23:00:00Z,"5.6",3945
2018-07-17T23:00:00Z,"5.5",650
2018-07-17T23:00:00Z,"5.4",2454
2018-07-17T23:00:00Z,"5.3",2875
2018-07-17T23:00:00Z,"5.2",2976
2018-07-17T23:00:00Z,"5.1",1464
2018-07-17T23:00:00Z,"5.0",17
2018-07-17T23:00:00Z,"4.3",54
2018-07-24T23:00:00Z,"7.2",59
2018-07-24T23:00:00Z,"7.1",213
2018-07-24T23:00:00Z,"7.0",646
2018-07-24T23:00:00Z,"5.6",3937
2018-07-24T23:00:00Z,"5.5",651
2018-07-24T23:00:00Z,"5.4",2445
2018-07-24T23:00:00Z,"5.3",2842
2018-07-24T23:00:00Z,"5.2",2957
2018-07-24T23:00:00Z,"5.1",1451
2018-07-24T23:00:00Z,"5.0",17
2018-07-24T23:00:00Z,"4.3",54
2018-08-01T23:00:00Z,"7.2",61
2018-08-01T23:00:00Z,"7.1",219
2018-08-01T23:00:00Z,"7.0",645
2018-08-01T23:00:00Z,"5.6",3955
2018-08-01T23:00:00Z,"5.5",638
2018-08-01T23:00:00Z,"5.4",2413
2018-08-01T23:00:00Z,"5.3",2816
2018-08-01T23:00:00Z,"5.2",2942
2018-08-01T23:00:00Z,"5.1",1443
2018-08-01T23:00:00Z,"5.0",17
2018-08-01T23:00:00Z,"4.3",54
2018-08-07T23:00:00Z,"7.2",59
2018-08-07T23:00:00Z,"7.1",219
2018-08-07T23:00:00Z,"7.0",647
2018-08-07T23:00:00Z,"5.6",3961
2018-08-07T23:00:00Z,"5.5",633
2018-08-07T23:00:00Z,"5.4",2380
2018-08-07T23:00:00Z,"5.3",2812
2018-08-07T23:00:00Z,"5.2",2942
2018-08-07T23:00:00Z,"5.1",1448
2018-08-07T23:00:00Z,"5.0",17
2018-08-07T23:00:00Z,"4.3",54
2018-08-17T23:00:00Z,"7.2",65
2018-08-17T23:00:00Z,"7.1",225
2018-08-17T23:00:00Z,"7.0",661
2018-08-17T23:00:00Z,"5.6",3960
2018-08-17T23:00:00Z,"5.5",641
2018-08-17T23:00:00Z,"5.4",2326
2018-08-17T23:00:00Z,"5.3",2786
2018-08-17T23:00:00Z,"5.2",2927
2018-08-17T23:00:00Z,"5.1",1443
2018-08-17T23:00:00Z,"5.0",17
2018-08-17T23:00:00Z,"4.3",54
2018-08-23T23:00:00Z,"7.2",68
2018-08-23T23:00:00Z,"7.1",231
2018-08-23T23:00:00Z,"7.0",672
2018-08-23T23:00:00Z,"5.6",3955
2018-08-23T23:00:00Z,"5.5",639
2018-08-23T23:00:00Z,"5.4",2305
2018-08-23T23:00:00Z,"5.3",2778
2018-08-23T23:00:00Z,"5.2",2921
2018-08-23T23:00:00Z,"5.1",1405
2018-08-23T23:00:00Z,"5.0",17
2018-08-23T23:00:00Z,"4.3",54
2018-08-28T23:00:00Z,"7.2",71
2018-08-28T23:00:00Z,"7.1",228
2018-08-28T23:00:00Z,"7.0",661
2018-08-28T23:00:00Z,"5.6",3939
2018-08-28T23:00:00Z,"5.5",635
2018-08-28T23:00:00Z,"5.4",2282
2018-08-28T23:00:00Z,"5.3",2769
2018-08-28T23:00:00Z,"5.2",2913
2018-08-28T23:00:00Z,"5.1",1356
2018-08-28T23:00:00Z,"5.0",17
2018-08-28T23:00:00Z,"4.3",54
2018-09-04T23:00:00Z,"7.2",76
2018-09-04T23:00:00Z,"7.1",231
2018-09-04T23:00:00Z,"7.0",664
2018-09-04T23:00:00Z,"5.6",3948
2018-09-04T23:00:00Z,"5.5",627
2018-09-04T23:00:00Z,"5.4",2296
2018-09-04T23:00:00Z,"5.3",2762
2018-09-04T23:00:00Z,"5.2",2899
2018-09-04T23:00:00Z,"5.1",1424
2018-09-04T23:00:00Z,"5.0",17
2018-09-04T23:00:00Z,"4.3",54
2018-09-12T23:00:00Z,"7.2",78
2018-09-12T23:00:00Z,"7.1",230
2018-09-12T23:00:00Z,"7.0",650
2018-09-12T23:00:00Z,"5.6",3834
2018-09-12T23:00:00Z,"5.5",619
2018-09-12T23:00:00Z,"5.4",2217
2018-09-12T23:00:00Z,"5.3",2749
2018-09-12T23:00:00Z,"5.2",2887
2018-09-12T23:00:00Z,"5.1",1415
2018-09-12T23:00:00Z,"5.0",17
2018-09-12T23:00:00Z,"4.3",54
