date,version,sites
2022-02-23T07:21:23Z,"4.3",5
2022-02-23T07:21:23Z,"4.4",1077
2022-02-23T07:21:23Z,"5.1",638
2022-02-23T07:21:23Z,"5.2",130
2022-02-23T07:21:23Z,"5.3",280
2022-02-23T07:21:23Z,"5.4",460
2022-02-23T07:21:23Z,"5.5",37
2022-02-23T07:21:23Z,"5.6",1106
2022-02-23T07:21:23Z,"7.0",75
2022-02-23T07:21:23Z,"7.1",148
2022-02-23T07:21:23Z,"7.2",164
2022-02-23T07:21:23Z,"7.3",292
2022-02-23T07:21:23Z,"7.4",353
2022-02-23T07:21:23Z,"8.0",21
2022-02-23T07:21:23Z,"8.1",1
2022-02-24T07:10:46Z,"4.3",5
2022-02-24T07:10:46Z,"4.4",1077
2022-02-24T07:10:46Z,"5.1",646
2022-02-24T07:10:46Z,"5.2",130
2022-02-24T07:10:46Z,"5.3",281
2022-02-24T07:10:46Z,"5.4",459
2022-02-24T07:10:46Z,"5.5",36
2022-02-24T07:10:46Z,"5.6",1105
2022-02-24T07:10:46Z,"7.0",75
2022-02-24T07:10:46Z,"7.1",143
2022-02-24T07:10:46Z,"7.2",158
2022-02-24T07:10:46Z,"7.3",295
2022-02-24T07:10:46Z,"7.4",356
2022-02-24T07:10:46Z,"8.0",21
2022-02-24T07:10:46Z,"8.1",1
2022-02-25T07:08:35Z,"4.3",5
2022-02-25T07:08:35Z,"4.4",1072
2022-02-25T07:08:35Z,"5.1",648
2022-02-25T07:08:35Z,"5.2",130
2022-02-25T07:08:35Z,"5.3",282
2022-02-25T07:08:35Z,"5.4",458
2022-02-25T07:08:35Z,"5.5",35
2022-02-25T07:08:35Z,"5.6",1110
2022-02-25T07:08:35Z,"7.0",76
2022-02-25T07:08:35Z,"7.1",146
2022-02-25T07:08:35Z,"7.2",159
2022-02-25T07:08:35Z,"7.3",294
2022-02-25T07:08:35Z,"7.4",354
2022-02-25T07:08:35Z,"8.0",21
2022-02-25T07:08:35Z,"8.1",1
2022-02-26T07:42:47Z,"4.3",5
2022-02-26T07:42:47Z,"4.4",1068
2022-02-26T07:42:47Z,"5.1",646
2022-02-26T07:42:47Z,"5.2",131
2022-02-26T07:42:47Z,"5.3",284
2022-02-26T07:42:47Z,"5.4",460
2022-02-26T07:42:47Z,"5.5",35
2022-02-26T07:42:47Z,"5.6",1110
2022-02-26T07:42:47Z,"7.0",76
2022-02-26T07:42:47Z,"7.1",147
2022-02-26T07:42:47Z,"7.2",157
2022-02-26T07:42:47Z,"7.3",294
2022-02-26T07:42:47Z,"7.4",356
2022-02-26T07:42:47Z,"8.0",22
2022-02-26T07:42:47Z,"8.1",1
2022-02-27T10:00:45Z,"4.3",5
2022-02-27T10:00:45Z,"4.4",1067
2022-02-27T10:00:45Z,"5.1",646
2022-02-27T10:00:45Z,"5.2",131
2022-02-27T10:00:45Z,"5.3",284
2022-02-27T10:00:45Z,"5.4",461
2022-02-27T10:00:45Z,"5.5",35
2022-02-27T10:00:45Z,"5.6",1108
2022-02-27T10:00:45Z,"7.0",75
2022-02-27T10:00:45Z,"7.1",154
2022-02-27T10:00:45Z,"7.2",155
2022-02-27T10:00:45Z,"7.3",295
2022-02-27T10:00:45Z,"7.4",355
2022-02-27T10:00:45Z,"8.0",22
2022-02-27T10:00:45Z,"8.1",1
2022-02-28T06:59:24Z,"4.3",5
2022-02-28T06:59:24Z,"4.4",1065
2022-02-28T06:59:24Z,"5.1",645
2022-02-28T06:59:24Z,"5.2",131
2022-02-28T06:59:24Z,"5.3",284
2022-02-28T06:59:24Z,"5.4",460
2022-02-28T06:59:24Z,"5.5",35
2022-02-28T06:59:24Z,"5.6",1107
2022-02-28T06:59:24Z,"7.0",75
2022-02-28T06:59:24Z,"7.1",156
2022-02-28T06:59:24Z,"7.2",155
2022-02-28T06:59:24Z,"7.3",295
2022-02-28T06:59:24Z,"7.4",357
2022-02-28T06:59:24Z,"8.0",22
2022-02-28T06:59:24Z,"8.1",1
2022-03-01T07:02:02Z,"4.3",6
2022-03-01T07:02:02Z,"4.4",1062
2022-03-01T07:02:02Z,"5.1",647
2022-03-01T07:02:02Z,"5.2",131
2022-03-01T07:02:02Z,"5.3",286
2022-03-01T07:02:02Z,"5.4",460
2022-03-01T07:02:02Z,"5.5",35
2022-03-01T07:02:02Z,"5.6",1105
2022-03-01T07:02:02Z,"7.0",75
2022-03-01T07:02:02Z,"7.1",156
2022-03-01T07:02:02Z,"7.2",155
2022-03-01T07:02:02Z,"7.3",295
2022-03-01T07:02:02Z,"7.4",357
2022-03-01T07:02:02Z,"8.0",22
2022-03-01T07:02:02Z,"8.1",1
2022-03-02T07:20:26Z,"4.3",6
2022-03-02T07:20:26Z,"4.4",1061
2022-03-02T07:20:26Z,"5.1",650
2022-03-02T07:20:26Z,"5.2",131
2022-03-02T07:20:26Z,"5.3",286
2022-03-02T07:20:26Z,"5.4",454
2022-03-02T07:20:26Z,"5.5",35
2022-03-02T07:20:26Z,"5.6",1100
2022-03-02T07:20:26Z,"7.0",76
2022-03-02T07:20:26Z,"7.1",145
2022-03-02T07:20:26Z,"7.2",157
2022-03-02T07:20:26Z,"7.3",291
2022-03-02T07:20:26Z,"7.4",359
2022-03-02T07:20:26Z,"8.0",23
2022-03-02T07:20:26Z,"8.1",1
2022-03-03T06:25:04Z,"4.3",6
2022-03-03T06:25:04Z,"4.4",1058
2022-03-03T06:25:04Z,"5.1",648
2022-03-03T06:25:04Z,"5.2",131
2022-03-03T06:25:04Z,"5.3",286
2022-03-03T06:25:04Z,"5.4",455
2022-03-03T06:25:04Z,"5.5",35
2022-03-03T06:25:04Z,"5.6",1103
2022-03-03T06:25:04Z,"7.0",75
2022-03-03T06:25:04Z,"7.1",148
2022-03-03T06:25:04Z,"7.2",157
2022-03-03T06:25:04Z,"7.3",292
2022-03-03T06:25:04Z,"7.4",359
2022-03-03T06:25:04Z,"8.0",23
2022-03-03T06:25:04Z,"8.1",1
2022-03-04T07:30:16Z,"4.3",6
2022-03-04T07:30:16Z,"4.4",1057
2022-03-04T07:30:16Z,"5.1",653
2022-03-04T07:30:16Z,"5.2",131
2022-03-04T07:30:16Z,"5.3",286
2022-03-04T07:30:16Z,"5.4",455
2022-03-04T07:30:16Z,"5.5",35
2022-03-04T07:30:16Z,"5.6",1108
2022-03-04T07:30:16Z,"7.0",75
2022-03-04T07:30:16Z,"7.1",155
2022-03-04T07:30:16Z,"7.2",150
2022-03-04T07:30:16Z,"7.3",292
2022-03-04T07:30:16Z,"7.4",360
2022-03-04T07:30:16Z,"8.0",23
2022-03-04T07:30:16Z,"8.1",1
2022-03-05T07:36:05Z,"4.3",6
2022-03-05T07:36:05Z,"4.4",1056
2022-03-05T07:36:05Z,"5.1",653
2022-03-05T07:36:05Z,"5.2",131
2022-03-05T07:36:05Z,"5.3",286
2022-03-05T07:36:05Z,"5.4",455
2022-03-05T07:36:05Z,"5.5",35
2022-03-05T07:36:05Z,"5.6",1108
2022-03-05T07:36:05Z,"7.0",75
2022-03-05T07:36:05Z,"7.1",155
2022-03-05T07:36:05Z,"7.2",150
2022-03-05T07:36:05Z,"7.3",292
2022-03-05T07:36:05Z,"7.4",360
2022-03-05T07:36:05Z,"8.0",23
2022-03-05T07:36:05Z,"8.1",1
2022-03-06T07:47:57Z,"4.3",6
2022-03-06T07:47:57Z,"4.4",1056
2022-03-06T07:47:57Z,"5.1",642
2022-03-06T07:47:57Z,"5.2",130
2022-03-06T07:47:57Z,"5.3",286
2022-03-06T07:47:57Z,"5.4",454
2022-03-06T07:47:57Z,"5.5",35
2022-03-06T07:47:57Z,"5.6",1109
2022-03-06T07:47:57Z,"7.0",75
2022-03-06T07:47:57Z,"7.1",146
2022-03-06T07:47:57Z,"7.2",147
2022-03-06T07:47:57Z,"7.3",289
2022-03-06T07:47:57Z,"7.4",360
2022-03-06T07:47:57Z,"8.0",24
2022-03-06T07:47:57Z,"8.1",1
2022-03-07T07:30:09Z,"4.3",6
2022-03-07T07:30:09Z,"4.4",1055
2022-03-07T07:30:09Z,"5.1",642
2022-03-07T07:30:09Z,"5.2",130
2022-03-07T07:30:09Z,"5.3",286
2022-03-07T07:30:09Z,"5.4",454
2022-03-07T07:30:09Z,"5.5",35
2022-03-07T07:30:09Z,"5.6",1107
2022-03-07T07:30:09Z,"7.0",74
2022-03-07T07:30:09Z,"7.1",146
2022-03-07T07:30:09Z,"7.2",147
2022-03-07T07:30:09Z,"7.3",289
2022-03-07T07:30:09Z,"7.4",361
2022-03-07T07:30:09Z,"8.0",24
2022-03-07T07:30:09Z,"8.1",1
2022-03-08T06:22:06Z,"4.3",6
2022-03-08T06:22:06Z,"4.4",1056
2022-03-08T06:22:06Z,"5.1",645
2022-03-08T06:22:06Z,"5.2",130
2022-03-08T06:22:06Z,"5.3",286
2022-03-08T06:22:06Z,"5.4",454
2022-03-08T06:22:06Z,"5.5",35
2022-03-08T06:22:06Z,"5.6",1103
2022-03-08T06:22:06Z,"7.0",74
2022-03-08T06:22:06Z,"7.1",149
2022-03-08T06:22:06Z,"7.2",151
2022-03-08T06:22:06Z,"7.3",286
2022-03-08T06:22:06Z,"7.4",359
2022-03-08T06:22:06Z,"8.0",25
2022-03-08T06:22:06Z,"8.1",1
2022-03-09T07:09:04Z,"4.3",6
2022-03-09T07:09:04Z,"4.4",1054
2022-03-09T07:09:04Z,"5.1",650
2022-03-09T07:09:04Z,"5.2",130
2022-03-09T07:09:04Z,"5.3",285
2022-03-09T07:09:04Z,"5.4",454
2022-03-09T07:09:04Z,"5.5",35
2022-03-09T07:09:04Z,"5.6",1107
2022-03-09T07:09:04Z,"7.0",75
2022-03-09T07:09:04Z,"7.1",150
2022-03-09T07:09:04Z,"7.2",148
2022-03-09T07:09:04Z,"7.3",286
2022-03-09T07:09:04Z,"7.4",363
2022-03-09T07:09:04Z,"8.0",25
2022-03-09T07:09:04Z,"8.1",1
2022-03-10T07:49:10Z,"4.3",6
2022-03-10T07:49:10Z,"4.4",1053
2022-03-10T07:49:10Z,"5.1",650
2022-03-10T07:49:10Z,"5.2",129
2022-03-10T07:49:10Z,"5.3",283
2022-03-10T07:49:10Z,"5.4",452
2022-03-10T07:49:10Z,"5.5",35
2022-03-10T07:49:10Z,"5.6",1112
2022-03-10T07:49:10Z,"7.0",79
2022-03-10T07:49:10Z,"7.1",145
2022-03-10T07:49:10Z,"7.2",145
2022-03-10T07:49:10Z,"7.3",285
2022-03-10T07:49:10Z,"7.4",360
2022-03-10T07:49:10Z,"8.0",25
2022-03-10T07:49:10Z,"8.1",1
2022-03-11T07:17:06Z,"4.3",6
2022-03-11T07:17:06Z,"4.4",1046
2022-03-11T07:17:06Z,"5.1",644
2022-03-11T07:17:06Z,"5.2",130
2022-03-11T07:17:06Z,"5.3",283
2022-03-11T07:17:06Z,"5.4",452
2022-03-11T07:17:06Z,"5.5",34
2022-03-11T07:17:06Z,"5.6",1107
2022-03-11T07:17:06Z,"7.0",81
2022-03-11T07:17:06Z,"7.1",141
2022-03-11T07:17:06Z,"7.2",144
2022-03-11T07:17:06Z,"7.3",285
2022-03-11T07:17:06Z,"7.4",358
2022-03-11T07:17:06Z,"8.0",25
2022-03-11T07:17:06Z,"8.1",1
2022-03-12T06:00:15Z,"4.3",6
2022-03-12T06:00:15Z,"4.4",1030
2022-03-12T06:00:15Z,"5.1",640
2022-03-12T06:00:15Z,"5.2",131
2022-03-12T06:00:15Z,"5.3",283
2022-03-12T06:00:15Z,"5.4",450
2022-03-12T06:00:15Z,"5.5",34
2022-03-12T06:00:15Z,"5.6",1103
2022-03-12T06:00:15Z,"7.0",81
2022-03-12T06:00:15Z,"7.1",143
2022-03-12T06:00:15Z,"7.2",144
2022-03-12T06:00:15Z,"7.3",285
2022-03-12T06:00:15Z,"7.4",359
2022-03-12T06:00:15Z,"8.0",25
2022-03-12T06:00:15Z,"8.1",1
2022-03-13T08:29:06Z,"4.3",6
2022-03-13T08:29:06Z,"4.4",1024
2022-03-13T08:29:06Z,"5.1",639
2022-03-13T08:29:06Z,"5.2",130
2022-03-13T08:29:06Z,"5.3",283
2022-03-13T08:29:06Z,"5.4",450
2022-03-13T08:29:06Z,"5.5",34
2022-03-13T08:29:06Z,"5.6",1085
2022-03-13T08:29:06Z,"7.0",81
2022-03-13T08:29:06Z,"7.1",141
2022-03-13T08:29:06Z,"7.2",147
2022-03-13T08:29:06Z,"7.3",285
2022-03-13T08:29:06Z,"7.4",358
2022-03-13T08:29:06Z,"8.0",27
2022-03-13T08:29:06Z,"8.1",1
2022-03-14T08:09:47Z,"4.3",6
2022-03-14T08:09:47Z,"4.4",1015
2022-03-14T08:09:47Z,"5.1",640
2022-03-14T08:09:47Z,"5.2",129
2022-03-14T08:09:47Z,"5.3",281
2022-03-14T08:09:47Z,"5.4",451
2022-03-14T08:09:47Z,"5.5",34
2022-03-14T08:09:47Z,"5.6",1027
2022-03-14T08:09:47Z,"7.0",81
2022-03-14T08:09:47Z,"7.1",147
2022-03-14T08:09:47Z,"7.2",145
2022-03-14T08:09:47Z,"7.3",286
2022-03-14T08:09:47Z,"7.4",363
2022-03-14T08:09:47Z,"8.0",27
2022-03-14T08:09:47Z,"8.1",1
2022-03-15T06:05:14Z,"4.3",6
2022-03-15T06:05:14Z,"4.4",1019
2022-03-15T06:05:14Z,"5.1",636
2022-03-15T06:05:14Z,"5.2",129
2022-03-15T06:05:14Z,"5.3",281
2022-03-15T06:05:14Z,"5.4",449
2022-03-15T06:05:14Z,"5.5",34
2022-03-15T06:05:14Z,"5.6",1029
2022-03-15T06:05:14Z,"7.0",81
2022-03-15T06:05:14Z,"7.1",147
2022-03-15T06:05:14Z,"7.2",145
2022-03-15T06:05:14Z,"7.3",285
2022-03-15T06:05:14Z,"7.4",365
2022-03-15T06:05:14Z,"8.0",27
2022-03-15T06:05:14Z,"8.1",1
2022-03-16T06:10:25Z,"4.3",6
2022-03-16T06:10:25Z,"4.4",1020
2022-03-16T06:10:25Z,"5.1",638
2022-03-16T06:10:25Z,"5.2",131
2022-03-16T06:10:25Z,"5.3",280
2022-03-16T06:10:25Z,"5.4",446
2022-03-16T06:10:25Z,"5.5",34
2022-03-16T06:10:25Z,"5.6",1032
2022-03-16T06:10:25Z,"7.0",80
2022-03-16T06:10:25Z,"7.1",149
2022-03-16T06:10:25Z,"7.2",143
2022-03-16T06:10:25Z,"7.3",283
2022-03-16T06:10:25Z,"7.4",368
2022-03-16T06:10:25Z,"8.0",27
2022-03-16T06:10:25Z,"8.1",1
2022-03-17T06:05:57Z,"4.3",6
2022-03-17T06:05:57Z,"4.4",1017
2022-03-17T06:05:57Z,"5.1",646
2022-03-17T06:05:57Z,"5.2",131
2022-03-17T06:05:57Z,"5.3",279
2022-03-17T06:05:57Z,"5.4",445
2022-03-17T06:05:57Z,"5.5",34
2022-03-17T06:05:57Z,"5.6",1034
2022-03-17T06:05:57Z,"7.0",79
2022-03-17T06:05:57Z,"7.1",150
2022-03-17T06:05:57Z,"7.2",143
2022-03-17T06:05:57Z,"7.3",284
2022-03-17T06:05:57Z,"7.4",368
2022-03-17T06:05:57Z,"8.0",27
2022-03-17T06:05:57Z,"8.1",1
2022-03-18T07:28:16Z,"4.3",6
2022-03-18T07:28:16Z,"4.4",996
2022-03-18T07:28:16Z,"5.1",647
2022-03-18T07:28:16Z,"5.2",131
2022-03-18T07:28:16Z,"5.3",279
2022-03-18T07:28:16Z,"5.4",447
2022-03-18T07:28:16Z,"5.5",34
2022-03-18T07:28:16Z,"5.6",1039
2022-03-18T07:28:16Z,"7.0",79
2022-03-18T07:28:16Z,"7.1",148
2022-03-18T07:28:16Z,"7.2",142
2022-03-18T07:28:16Z,"7.3",287
2022-03-18T07:28:16Z,"7.4",365
2022-03-18T07:28:16Z,"8.0",27
2022-03-18T07:28:16Z,"8.1",1
2022-03-19T06:05:58Z,"4.3",6
2022-03-19T06:05:58Z,"4.4",977
2022-03-19T06:05:58Z,"5.1",644
2022-03-19T06:05:58Z,"5.2",126
2022-03-19T06:05:58Z,"5.3",284
2022-03-19T06:05:58Z,"5.4",447
2022-03-19T06:05:58Z,"5.5",34
2022-03-19T06:05:58Z,"5.6",1035
2022-03-19T06:05:58Z,"7.0",79
2022-03-19T06:05:58Z,"7.1",153
2022-03-19T06:05:58Z,"7.2",144
2022-03-19T06:05:58Z,"7.3",286
2022-03-19T06:05:58Z,"7.4",366
2022-03-19T06:05:58Z,"8.0",27
2022-03-19T06:05:58Z,"8.1",1
2022-03-20T09:47:58Z,"4.3",6
2022-03-20T09:47:58Z,"4.4",968
2022-03-20T09:47:58Z,"5.1",644
2022-03-20T09:47:58Z,"5.2",123
2022-03-20T09:47:58Z,"5.3",288
2022-03-20T09:47:58Z,"5.4",447
2022-03-20T09:47:58Z,"5.5",34
2022-03-20T09:47:58Z,"5.6",1038
2022-03-20T09:47:58Z,"7.0",79
2022-03-20T09:47:58Z,"7.1",154
2022-03-20T09:47:58Z,"7.2",146
2022-03-20T09:47:58Z,"7.3",284
2022-03-20T09:47:58Z,"7.4",367
2022-03-20T09:47:58Z,"8.0",27
2022-03-20T09:47:58Z,"8.1",1
2022-03-21T06:38:37Z,"4.3",6
2022-03-21T06:38:37Z,"4.4",972
2022-03-21T06:38:37Z,"5.1",644
2022-03-21T06:38:37Z,"5.2",115
2022-03-21T06:38:37Z,"5.3",290
2022-03-21T06:38:37Z,"5.4",447
2022-03-21T06:38:37Z,"5.5",34
2022-03-21T06:38:37Z,"5.6",1035
2022-03-21T06:38:37Z,"7.0",79
2022-03-21T06:38:37Z,"7.1",153
2022-03-21T06:38:37Z,"7.2",146
2022-03-21T06:38:37Z,"7.3",285
2022-03-21T06:38:37Z,"7.4",369
2022-03-21T06:38:37Z,"8.0",27
2022-03-21T06:38:37Z,"8.1",1
2022-03-22T08:21:18Z,"4.3",6
2022-03-22T08:21:18Z,"4.4",976
2022-03-22T08:21:18Z,"5.1",639
2022-03-22T08:21:18Z,"5.2",117
2022-03-22T08:21:18Z,"5.3",291
2022-03-22T08:21:18Z,"5.4",447
2022-03-22T08:21:18Z,"5.5",34
2022-03-22T08:21:18Z,"5.6",1036
2022-03-22T08:21:18Z,"7.0",79
2022-03-22T08:21:18Z,"7.1",145
2022-03-22T08:21:18Z,"7.2",144
2022-03-22T08:21:18Z,"7.3",287
2022-03-22T08:21:18Z,"7.4",366
2022-03-22T08:21:18Z,"8.0",26
2022-03-22T08:21:18Z,"8.1",1
2022-03-23T05:42:15Z,"4.3",6
2022-03-23T05:42:15Z,"4.4",975
2022-03-23T05:42:15Z,"5.1",642
2022-03-23T05:42:15Z,"5.2",123
2022-03-23T05:42:15Z,"5.3",291
2022-03-23T05:42:15Z,"5.4",446
2022-03-23T05:42:15Z,"5.5",34
2022-03-23T05:42:15Z,"5.6",1038
2022-03-23T05:42:15Z,"7.0",80
2022-03-23T05:42:15Z,"7.1",148
2022-03-23T05:42:15Z,"7.2",144
2022-03-23T05:42:15Z,"7.3",286
2022-03-23T05:42:15Z,"7.4",364
2022-03-23T05:42:15Z,"8.0",26
2022-03-23T05:42:15Z,"8.1",1
2022-03-24T06:16:30Z,"4.3",6
2022-03-24T06:16:30Z,"4.4",970
2022-03-24T06:16:30Z,"5.1",647
2022-03-24T06:16:30Z,"5.2",127
2022-03-24T06:16:30Z,"5.3",292
2022-03-24T06:16:30Z,"5.4",446
2022-03-24T06:16:30Z,"5.5",34
2022-03-24T06:16:30Z,"5.6",1035
2022-03-24T06:16:30Z,"7.0",80
2022-03-24T06:16:30Z,"7.1",148
2022-03-24T06:16:30Z,"7.2",144
2022-03-24T06:16:30Z,"7.3",286
2022-03-24T06:16:30Z,"7.4",365
2022-03-24T06:16:30Z,"8.0",26
2022-03-24T06:16:30Z,"8.1",1
2022-03-25T06:54:05Z,"4.3",6
2022-03-25T06:54:05Z,"4.4",958
2022-03-25T06:54:05Z,"5.1",644
2022-03-25T06:54:05Z,"5.2",127
2022-03-25T06:54:05Z,"5.3",294
2022-03-25T06:54:05Z,"5.4",446
2022-03-25T06:54:05Z,"5.5",34
2022-03-25T06:54:05Z,"5.6",1033
2022-03-25T06:54:05Z,"7.0",79
2022-03-25T06:54:05Z,"7.1",151
2022-03-25T06:54:05Z,"7.2",143
2022-03-25T06:54:05Z,"7.3",282
2022-03-25T06:54:05Z,"7.4",368
2022-03-25T06:54:05Z,"8.0",27
2022-03-25T06:54:05Z,"8.1",1
2022-03-26T08:20:20Z,"4.3",6
2022-03-26T08:20:20Z,"4.4",957
2022-03-26T08:20:20Z,"5.1",639
2022-03-26T08:20:20Z,"5.2",123
2022-03-26T08:20:20Z,"5.3",295
2022-03-26T08:20:20Z,"5.4",448
