date,version,sites
2024-07-30T05:12:27Z,"4.4",1215
2024-07-30T05:12:27Z,"5.1",548
2024-07-30T05:12:27Z,"5.2",62
2024-07-30T05:12:27Z,"5.3",45
2024-07-30T05:12:27Z,"5.4",133
2024-07-30T05:12:27Z,"5.5",244
2024-07-30T05:12:27Z,"5.6",455
2024-07-30T05:12:27Z,"7.0",55
2024-07-30T05:12:27Z,"7.1",30
2024-07-30T05:12:27Z,"7.2",114
2024-07-30T05:12:27Z,"7.3",94
2024-07-30T05:12:27Z,"7.4",641
2024-07-30T05:12:27Z,"8.0",97
2024-07-30T05:12:27Z,"8.1",235
2024-07-30T05:12:27Z,"8.2",177
2024-07-30T05:12:27Z,"8.3",16
2024-07-31T02:50:12Z,"4.4",1221
2024-07-31T02:50:12Z,"5.1",572
2024-07-31T02:50:12Z,"5.2",62
2024-07-31T02:50:12Z,"5.3",45
2024-07-31T02:50:12Z,"5.4",133
2024-07-31T02:50:12Z,"5.5",244
2024-07-31T02:50:12Z,"5.6",457
2024-07-31T02:50:12Z,"7.0",55
2024-07-31T02:50:12Z,"7.1",30
2024-07-31T02:50:12Z,"7.2",115
2024-07-31T02:50:12Z,"7.3",93
2024-07-31T02:50:12Z,"7.4",641
2024-07-31T02:50:12Z,"8.0",98
2024-07-31T02:50:12Z,"8.1",233
2024-07-31T02:50:12Z,"8.2",175
2024-07-31T02:50:12Z,"8.3",17
2024-08-01T07:42:26Z,"4.4",1137
2024-08-01T07:42:26Z,"5.1",606
2024-08-01T07:42:26Z,"5.2",63
2024-08-01T07:42:26Z,"5.3",45
2024-08-01T07:42:26Z,"5.4",132
2024-08-01T07:42:26Z,"5.5",244
2024-08-01T07:42:26Z,"5.6",454
2024-08-01T07:42:26Z,"7.0",55
2024-08-01T07:42:26Z,"7.1",30
2024-08-01T07:42:26Z,"7.2",114
2024-08-01T07:42:26Z,"7.3",95
2024-08-01T07:42:26Z,"7.4",642
2024-08-01T07:42:26Z,"8.0",98
2024-08-01T07:42:26Z,"8.1",234
2024-08-01T07:42:26Z,"8.2",175
2024-08-01T07:42:26Z,"8.3",18
2024-08-02T08:28:55Z,"4.4",1100
2024-08-02T08:28:55Z,"5.1",618
2024-08-02T08:28:55Z,"5.2",63
2024-08-02T08:28:55Z,"5.3",45
2024-08-02T08:28:55Z,"5.4",133
2024-08-02T08:28:55Z,"5.5",244
2024-08-02T08:28:55Z,"5.6",454
2024-08-02T08:28:55Z,"7.0",54
2024-08-02T08:28:55Z,"7.1",30
2024-08-02T08:28:55Z,"7.2",113
2024-08-02T08:28:55Z,"7.3",95
2024-08-02T08:28:55Z,"7.4",641
2024-08-02T08:28:55Z,"8.0",98
