date,version,sites
2022-02-23T07:21:23Z,"1.9",400
2022-02-23T07:21:23Z,"2.0",481
2022-02-23T07:21:23Z,"2.1",1204
2022-02-23T07:21:23Z,"3.0",1370
2022-02-23T07:21:23Z,"3.1",972
2022-02-23T07:21:23Z,"3.2",4068
2022-02-23T07:21:23Z,"3.3",22
2022-02-23T07:21:23Z,"4.0",402
2022-02-23T07:21:23Z,"4.1",101
2022-02-24T07:10:46Z,"1.9",401
2022-02-24T07:10:46Z,"2.0",481
2022-02-24T07:10:46Z,"2.1",1203
2022-02-24T07:10:46Z,"3.0",1372
2022-02-24T07:10:46Z,"3.1",968
2022-02-24T07:10:46Z,"3.2",4060
2022-02-24T07:10:46Z,"3.3",22
2022-02-24T07:10:46Z,"4.0",406
2022-02-24T07:10:46Z,"4.1",101
2022-02-25T07:08:35Z,"1.9",401
2022-02-25T07:08:35Z,"2.0",480
2022-02-25T07:08:35Z,"2.1",1202
2022-02-25T07:08:35Z,"3.0",1373
2022-02-25T07:08:35Z,"3.1",966
2022-02-25T07:08:35Z,"3.2",4060
2022-02-25T07:08:35Z,"3.3",22
2022-02-25T07:08:35Z,"4.0",407
2022-02-25T07:08:35Z,"4.1",101
2022-02-26T07:42:47Z,"1.9",401
2022-02-26T07:42:47Z,"2.0",480
2022-02-26T07:42:47Z,"2.1",1200
2022-02-26T07:42:47Z,"3.0",1375
2022-02-26T07:42:47Z,"3.1",966
2022-02-26T07:42:47Z,"3.2",4059
2022-02-26T07:42:47Z,"3.3",22
2022-02-26T07:42:47Z,"4.0",409
2022-02-26T07:42:47Z,"4.1",101
2022-02-27T10:00:45Z,"1.9",401
2022-02-27T10:00:45Z,"2.0",480
2022-02-27T10:00:45Z,"2.1",1200
2022-02-27T10:00:45Z,"3.0",1373
2022-02-27T10:00:45Z,"3.1",966
2022-02-27T10:00:45Z,"3.2",4058
2022-02-27T10:00:45Z,"3.3",22
2022-02-27T10:00:45Z,"4.0",411
2022-02-27T10:00:45Z,"4.1",101
2022-02-28T06:59:24Z,"1.9",399
2022-02-28T06:59:24Z,"2.0",479
2022-02-28T06:59:24Z,"2.1",1194
2022-02-28T06:59:24Z,"3.0",1366
2022-02-28T06:59:24Z,"3.1",969
2022-02-28T06:59:24Z,"3.2",4055
2022-02-28T06:59:24Z,"3.3",22
2022-02-28T06:59:24Z,"4.0",411
2022-02-28T06:59:24Z,"4.1",102
2022-03-01T07:02:02Z,"1.9",398
2022-03-01T07:02:02Z,"2.0",478
2022-03-01T07:02:02Z,"2.1",1191
2022-03-01T07:02:02Z,"3.0",1368
2022-03-01T07:02:02Z,"3.1",969
2022-03-01T07:02:02Z,"3.2",4055
2022-03-01T07:02:02Z,"3.3",22
2022-03-01T07:02:02Z,"4.0",411
2022-03-01T07:02:02Z,"4.1",102
2022-03-02T07:20:26Z,"1.9",398
2022-03-02T07:20:26Z,"2.0",478
2022-03-02T07:20:26Z,"2.1",1187
2022-03-02T07:20:26Z,"3.0",1365
2022-03-02T07:20:26Z,"3.1",965
2022-03-02T07:20:26Z,"3.2",4052
2022-03-02T07:20:26Z,"3.3",22
2022-03-02T07:20:26Z,"4.0",412
2022-03-02T07:20:26Z,"4.1",102
2022-03-03T06:25:04Z,"1.9",396
2022-03-03T06:25:04Z,"2.0",478
2022-03-03T06:25:04Z,"2.1",1186
2022-03-03T06:25:04Z,"3.0",1364
2022-03-03T06:25:04Z,"3.1",967
2022-03-03T06:25:04Z,"3.2",4052
2022-03-03T06:25:04Z,"3.3",22
2022-03-03T06:25:04Z,"4.0",413
2022-03-03T06:25:04Z,"4.1",102
2022-03-04T07:30:16Z,"1.9",396
2022-03-04T07:30:16Z,"2.0",479
2022-03-04T07:30:16Z,"2.1",1185
2022-03-04T07:30:16Z,"3.0",1362
2022-03-04T07:30:16Z,"3.1",963
2022-03-04T07:30:16Z,"3.2",4045
2022-03-04T07:30:16Z,"3.3",22
2022-03-04T07:30:16Z,"4.0",415
2022-03-04T07:30:16Z,"4.1",102
2022-03-05T07:36:05Z,"1.9",396
2022-03-05T07:36:05Z,"2.0",479
2022-03-05T07:36:05Z,"2.1",1185
2022-03-05T07:36:05Z,"3.0",1362
2022-03-05T07:36:05Z,"3.1",963
2022-03-05T07:36:05Z,"3.2",4045
2022-03-05T07:36:05Z,"3.3",22
2022-03-05T07:36:05Z,"4.0",415
2022-03-05T07:36:05Z,"4.1",102
2022-03-06T07:47:57Z,"1.9",396
2022-03-06T07:47:57Z,"2.0",478
2022-03-06T07:47:57Z,"2.1",1182
2022-03-06T07:47:57Z,"3.0",1359
2022-03-06T07:47:57Z,"3.1",962
2022-03-06T07:47:57Z,"3.2",4040
2022-03-06T07:47:57Z,"3.3",22
2022-03-06T07:47:57Z,"4.0",418
