date,version,sites
2024-08-21T10:25:36Z,"1.8",0
2024-08-21T10:25:36Z,"1.9",330
2024-08-21T10:25:36Z,"2.0",450
2024-08-21T10:25:36Z,"2.1",771
2024-08-21T10:25:36Z,"3.0",787
2024-08-21T10:25:36Z,"3.1",371
2024-08-21T10:25:36Z,"3.2",1677
2024-08-21T10:25:36Z,"3.3",3
2024-08-21T10:25:36Z,"4.0",121
2024-08-21T10:25:36Z,"4.1",813
2024-08-21T10:25:36Z,"4.2",1433
2024-08-21T10:25:36Z,"4.3",231
2024-08-21T10:25:36Z,"4.4",0
2024-08-21T10:25:36Z,"5.0",0
2024-08-22T05:46:30Z,"1.8",0
2024-08-22T05:46:30Z,"1.9",332
2024-08-22T05:46:30Z,"2.0",444
2024-08-22T05:46:30Z,"2.1",778
2024-08-22T05:46:30Z,"3.0",789
2024-08-22T05:46:30Z,"3.1",371
2024-08-22T05:46:30Z,"3.2",1674
2024-08-22T05:46:30Z,"3.3",3
2024-08-22T05:46:30Z,"4.0",121
2024-08-22T05:46:30Z,"4.1",813
2024-08-22T05:46:30Z,"4.2",1409
2024-08-22T05:46:30Z,"4.3",256
2024-08-22T05:46:30Z,"4.4",0
2024-08-22T05:46:30Z,"5.0",0
2024-08-23T09:41:55Z,"1.8",0
2024-08-23T09:41:55Z,"1.9",329
2024-08-23T09:41:55Z,"2.0",436
2024-08-23T09:41:55Z,"2.1",770
2024-08-23T09:41:55Z,"3.0",789
2024-08-23T09:41:55Z,"3.1",368
2024-08-23T09:41:55Z,"3.2",1675
2024-08-23T09:41:55Z,"3.3",3
2024-08-23T09:41:55Z,"4.0",120
2024-08-23T09:41:55Z,"4.1",813
2024-08-23T09:41:55Z,"4.2",1382
2024-08-23T09:41:55Z,"4.3",289
2024-08-23T09:41:55Z,"4.4",0
2024-08-23T09:41:55Z,"5.0",0
2024-08-24T06:56:03Z,"1.8",0
2024-08-24T06:56:03Z,"1.9",327
2024-08-24T06:56:03Z,"2.0",440
2024-08-24T06:56:03Z,"2.1",766
2024-08-24T06:56:03Z,"3.0",782
2024-08-24T06:56:03Z,"3.1",374
2024-08-24T06:56:03Z,"3.2",1674
2024-08-24T06:56:03Z,"3.3",3
2024-08-24T06:56:03Z,"4.0",121
2024-08-24T06:56:03Z,"4.1",811
2024-08-24T06:56:03Z,"4.2",1379
2024-08-24T06:56:03Z,"4.3",294
2024-08-24T06:56:03Z,"4.4",0
2024-08-24T06:56:03Z,"5.0",0
2024-08-25T09:35:43Z,"1.8",0
2024-08-25T09:35:43Z,"1.9",327
2024-08-25T09:35:43Z,"2.0",437
2024-08-25T09:35:43Z,"2.1",762
2024-08-25T09:35:43Z,"3.0",784
2024-08-25T09:35:43Z,"3.1",372
2024-08-25T09:35:43Z,"3.2",1673
2024-08-25T09:35:43Z,"3.3",3
2024-08-25T09:35:43Z,"4.0",121
2024-08-25T09:35:43Z,"4.1",811
2024-08-25T09:35:43Z,"4.2",1370
2024-08-25T09:35:43Z,"4.3",301
2024-08-25T09:35:43Z,"4.4",0
2024-08-25T09:35:43Z,"5.0",0
2024-08-26T04:32:13Z,"1.8",0
2024-08-26T04:32:13Z,"1.9",326
2024-08-26T04:32:13Z,"2.0",429
2024-08-26T04:32:13Z,"2.1",765
2024-08-26T04:32:13Z,"3.0",788
2024-08-26T04:32:13Z,"3.1",368
2024-08-26T04:32:13Z,"3.2",1673
2024-08-26T04:32:13Z,"3.3",3
2024-08-26T04:32:13Z,"4.0",121
2024-08-26T04:32:13Z,"4.1",811
2024-08-26T04:32:13Z,"4.2",1369
2024-08-26T04:32:13Z,"4.3",301
2024-08-26T04:32:13Z,"4.4",0
2024-08-26T04:32:13Z,"5.0",0
2024-08-27T06:37:19Z,"1.8",0
2024-08-27T06:37:19Z,"1.9",327
2024-08-27T06:37:19Z,"2.0",431
2024-08-27T06:37:19Z,"2.1",761
2024-08-27T06:37:19Z,"3.0",784
2024-08-27T06:37:19Z,"3.1",372
2024-08-27T06:37:19Z,"3.2",1671
2024-08-27T06:37:19Z,"3.3",3
2024-08-27T06:37:19Z,"4.0",121
2024-08-27T06:37:19Z,"4.1",807
2024-08-27T06:37:19Z,"4.2",1360
2024-08-27T06:37:19Z,"4.3",315
2024-08-27T06:37:19Z,"4.4",0
2024-08-27T06:37:19Z,"5.0",0
2024-08-28T02:57:56Z,"1.8",0
2024-08-28T02:57:56Z,"1.9",326
2024-08-28T02:57:56Z,"2.0",425
2024-08-28T02:57:56Z,"2.1",755
2024-08-28T02:57:56Z,"3.0",785
2024-08-28T02:57:56Z,"3.1",371
2024-08-28T02:57:56Z,"3.2",1670
2024-08-28T02:57:56Z,"3.3",3
2024-08-28T02:57:56Z,"4.0",121
2024-08-28T02:57:56Z,"4.1",804
2024-08-28T02:57:56Z,"4.2",1346
2024-08-28T02:57:56Z,"4.3",333
2024-08-28T02:57:56Z,"4.4",0
2024-08-28T02:57:56Z,"5.0",0
2024-08-29T02:42:50Z,"1.8",0
2024-08-29T02:42:50Z,"1.9",328
2024-08-29T02:42:50Z,"2.0",430
2024-08-29T02:42:50Z,"2.1",755
2024-08-29T02:42:50Z,"3.0",780
2024-08-29T02:42:50Z,"3.1",375
2024-08-29T02:42:50Z,"3.2",1667
2024-08-29T02:42:50Z,"3.3",3
2024-08-29T02:42:50Z,"4.0",121
2024-08-29T02:42:50Z,"4.1",805
2024-08-29T02:42:50Z,"4.2",1338
2024-08-29T02:42:50Z,"4.3",342
2024-08-29T02:42:50Z,"4.4",0
2024-08-29T02:42:50Z,"5.0",0
2024-08-30T07:53:06Z,"1.8",0
2024-08-30T07:53:06Z,"1.9",330
2024-08-30T07:53:06Z,"2.0",422
2024-08-30T07:53:06Z,"2.1",748
2024-08-30T07:53:06Z,"3.0",784
2024-08-30T07:53:06Z,"3.1",372
2024-08-30T07:53:06Z,"3.2",1663
2024-08-30T07:53:06Z,"3.3",3
2024-08-30T07:53:06Z,"4.0",120
2024-08-30T07:53:06Z,"4.1",804
2024-08-30T07:53:06Z,"4.2",1317
2024-08-30T07:53:06Z,"4.3",365
2024-08-30T07:53:06Z,"4.4",0
2024-08-30T07:53:06Z,"5.0",0
2024-09-02T05:10:49Z,"1.8",0
2024-09-02T05:10:49Z,"1.9",333
2024-09-02T05:10:49Z,"2.0",429
2024-09-02T05:10:49Z,"2.1",773
2024-09-02T05:10:49Z,"3.0",774
2024-09-02T05:10:49Z,"3.1",382
2024-09-02T05:10:49Z,"3.2",1660
2024-09-02T05:10:49Z,"3.3",3
2024-09-02T05:10:49Z,"4.0",121
2024-09-02T05:10:49Z,"4.1",804
2024-09-02T05:10:49Z,"4.2",1307
2024-09-02T05:10:49Z,"4.3",377
2024-09-02T05:10:49Z,"4.4",0
2024-09-02T05:10:49Z,"5.0",0
2024-09-03T07:21:49Z,"1.8",0
2024-09-03T07:21:49Z,"1.9",335
2024-09-03T07:21:49Z,"2.0",436
2024-09-03T07:21:49Z,"2.1",771
2024-09-03T07:21:49Z,"3.0",780
2024-09-03T07:21:49Z,"3.1",375
2024-09-03T07:21:49Z,"3.2",1659
2024-09-03T07:21:49Z,"3.3",3
2024-09-03T07:21:49Z,"4.0",121
2024-09-03T07:21:49Z,"4.1",805
2024-09-03T07:21:49Z,"4.2",1302
2024-09-03T07:21:49Z,"4.3",383
2024-09-03T07:21:49Z,"4.4",0
2024-09-03T07:21:49Z,"5.0",0
2024-09-04T05:10:51Z,"1.8",0
2024-09-04T05:10:51Z,"1.9",338
2024-09-04T05:10:51Z,"2.0",435
2024-09-04T05:10:51Z,"2.1",774
2024-09-04T05:10:51Z,"3.0",787
2024-09-04T05:10:51Z,"3.1",367
2024-09-04T05:10:51Z,"3.2",1658
2024-09-04T05:10:51Z,"3.3",3
2024-09-04T05:10:51Z,"4.0",120
2024-09-04T05:10:51Z,"4.1",805
2024-09-04T05:10:51Z,"4.2",1299
2024-09-04T05:10:51Z,"4.3",387
2024-09-04T05:10:51Z,"4.4",0
2024-09-04T05:10:51Z,"5.0",0
2024-09-05T07:03:05Z,"1.8",0
2024-09-05T07:03:05Z,"1.9",339
2024-09-05T07:03:05Z,"2.0",432
2024-09-05T07:03:05Z,"2.1",774
2024-09-05T07:03:05Z,"3.0",794
2024-09-05T07:03:05Z,"3.1",360
2024-09-05T07:03:05Z,"3.2",1655
2024-09-05T07:03:05Z,"3.3",3
2024-09-05T07:03:05Z,"4.0",119
2024-09-05T07:03:05Z,"4.1",806
2024-09-05T07:03:05Z,"4.2",1299
2024-09-05T07:03:05Z,"4.3",391
2024-09-05T07:03:05Z,"4.4",0
2024-09-05T07:03:05Z,"5.0",0
2024-09-06T08:56:03Z,"1.8",0
2024-09-06T08:56:03Z,"1.9",338
2024-09-06T08:56:03Z,"2.0",434
2024-09-06T08:56:03Z,"2.1",772
2024-09-06T08:56:03Z,"3.0",793
2024-09-06T08:56:03Z,"3.1",361
2024-09-06T08:56:03Z,"3.2",1652
2024-09-06T08:56:03Z,"3.3",3
2024-09-06T08:56:03Z,"4.0",118
2024-09-06T08:56:03Z,"4.1",805
2024-09-06T08:56:03Z,"4.2",1292
2024-09-06T08:56:03Z,"4.3",398
2024-09-06T08:56:03Z,"4.4",0
2024-09-06T08:56:03Z,"5.0",0
2024-09-07T08:42:18Z,"1.8",0
2024-09-07T08:42:18Z,"1.9",338
2024-09-07T08:42:18Z,"2.0",440
2024-09-07T08:42:18Z,"2.1",771
2024-09-07T08:42:18Z,"3.0",782
2024-09-07T08:42:18Z,"3.1",373
2024-09-07T08:42:18Z,"3.2",1651
2024-09-07T08:42:18Z,"3.3",3
2024-09-07T08:42:18Z,"4.0",118
2024-09-07T08:42:18Z,"4.1",805
2024-09-07T08:42:18Z,"4.2",1267
2024-09-07T08:42:18Z,"4.3",405
2024-09-07T08:42:18Z,"4.4",0
2024-09-07T08:42:18Z,"5.0",0
2024-09-08T08:54:25Z,"1.8",0
2024-09-08T08:54:25Z,"1.9",338
2024-09-08T08:54:25Z,"2.0",439
2024-09-08T08:54:25Z,"2.1",777
2024-09-08T08:54:25Z,"3.0",781
2024-09-08T08:54:25Z,"3.1",372
2024-09-08T08:54:25Z,"3.2",1648
2024-09-08T08:54:25Z,"3.3",3
2024-09-08T08:54:25Z,"4.0",118
2024-09-08T08:54:25Z,"4.1",805
2024-09-08T08:54:25Z,"4.2",1244
2024-09-08T08:54:25Z,"4.3",407
2024-09-08T08:54:25Z,"4.4",0
2024-09-08T08:54:25Z,"5.0",0
2024-09-09T07:10:23Z,"1.8",0
2024-09-09T07:10:23Z,"1.9",337
2024-09-09T07:10:23Z,"2.0",442
2024-09-09T07:10:23Z,"2.1",770
2024-09-09T07:10:23Z,"3.0",784
2024-09-09T07:10:23Z,"3.1",370
2024-09-09T07:10:23Z,"3.2",1645
2024-09-09T07:10:23Z,"3.3",3
2024-09-09T07:10:23Z,"4.0",117
2024-09-09T07:10:23Z,"4.1",795
2024-09-09T07:10:23Z,"4.2",1235
2024-09-09T07:10:23Z,"4.3",410
2024-09-09T07:10:23Z,"4.4",0
2024-09-09T07:10:23Z,"5.0",0
2024-09-10T08:04:41Z,"1.8",0
2024-09-10T08:04:41Z,"1.9",336
2024-09-10T08:04:41Z,"2.0",444
2024-09-10T08:04:41Z,"2.1",766
2024-09-10T08:04:41Z,"3.0",783
2024-09-10T08:04:41Z,"3.1",372
2024-09-10T08:04:41Z,"3.2",1644
2024-09-10T08:04:41Z,"3.3",3
2024-09-10T08:04:41Z,"4.0",116
2024-09-10T08:04:41Z,"4.1",795
2024-09-10T08:04:41Z,"4.2",1221
2024-09-10T08:04:41Z,"4.3",415
2024-09-10T08:04:41Z,"4.4",0
2024-09-10T08:04:41Z,"5.0",0
2024-09-11T08:59:48Z,"1.8",0
2024-09-11T08:59:48Z,"1.9",334
2024-09-11T08:59:48Z,"2.0",442
2024-09-11T08:59:48Z,"2.1",766
2024-09-11T08:59:48Z,"3.0",783
2024-09-11T08:59:48Z,"3.1",372
2024-09-11T08:59:48Z,"3.2",1641
2024-09-11T08:59:48Z,"3.3",3
2024-09-11T08:59:48Z,"4.0",116
2024-09-11T08:59:48Z,"4.1",785
2024-09-11T08:59:48Z,"4.2",1211
2024-09-11T08:59:48Z,"4.3",426
2024-09-11T08:59:48Z,"4.4",0
2024-09-11T08:59:48Z,"5.0",0
2024-09-12T06:37:59Z,"1.8",0
2024-09-12T06:37:59Z,"1.9",335
2024-09-12T06:37:59Z,"2.0",439
2024-09-12T06:37:59Z,"2.1",771
2024-09-12T06:37:59Z,"3.0",789
2024-09-12T06:37:59Z,"3.1",365
2024-09-12T06:37:59Z,"3.2",1637
2024-09-12T06:37:59Z,"3.3",3
2024-09-12T06:37:59Z,"4.0",114
2024-09-12T06:37:59Z,"4.1",779
2024-09-12T06:37:59Z,"4.2",1170
2024-09-12T06:37:59Z,"4.3",461
2024-09-12T06:37:59Z,"4.4",0
2024-09-12T06:37:59Z,"5.0",0
2024-09-13T13:37:00Z,"1.8",0
2024-09-13T13:37:00Z,"1.9",335
2024-09-13T13:37:00Z,"2.0",442
2024-09-13T13:37:00Z,"2.1",772
2024-09-13T13:37:00Z,"3.0",791
2024-09-13T13:37:00Z,"3.1",362
2024-09-13T13:37:00Z,"3.2",1633
2024-09-13T13:37:00Z,"3.3",3
2024-09-13T13:37:00Z,"4.0",114
2024-09-13T13:37:00Z,"4.1",774
2024-09-13T13:37:00Z,"4.2",1162
2024-09-13T13:37:00Z,"4.3",463
2024-09-13T13:37:00Z,"4.4",0
2024-09-13T13:37:00Z,"5.0",0
2024-09-14T07:07:15Z,"1.8",0
2024-09-14T07:07:15Z,"1.9",337
2024-09-14T07:07:15Z,"2.0",443
2024-09-14T07:07:15Z,"2.1",770
2024-09-14T07:07:15Z,"3.0",782
2024-09-14T07:07:15Z,"3.1",371
2024-09-14T07:07:15Z,"3.2",1629
2024-09-14T07:07:15Z,"3.3",3
2024-09-14T07:07:15Z,"4.0",114
2024-09-14T07:07:15Z,"4.1",772
2024-09-14T07:07:15Z,"4.2",1151
2024-09-14T07:07:15Z,"4.3",470
2024-09-14T07:07:15Z,"4.4",0
2024-09-14T07:07:15Z,"5.0",0
2024-09-15T14:12:33Z,"1.8",0
2024-09-15T14:12:33Z,"1.9",338
2024-09-15T14:12:33Z,"2.0",439
2024-09-15T14:12:33Z,"2.1",766
2024-09-15T14:12:33Z,"3.0",782
2024-09-15T14:12:33Z,"3.1",370
2024-09-15T14:12:33Z,"3.2",1618
2024-09-15T14:12:33Z,"3.3",3
2024-09-15T14:12:33Z,"4.0",113
2024-09-15T14:12:33Z,"4.1",755
2024-09-15T14:12:33Z,"4.2",1136
2024-09-15T14:12:33Z,"4.3",482
2024-09-15T14:12:33Z,"4.4",0
2024-09-15T14:12:33Z,"5.0",0
2024-09-16T07:42:03Z,"1.8",0
2024-09-16T07:42:03Z,"1.9",340
2024-09-16T07:42:03Z,"2.0",439
2024-09-16T07:42:03Z,"2.1",766
2024-09-16T07:42:03Z,"3.0",780
2024-09-16T07:42:03Z,"3.1",371
2024-09-16T07:42:03Z,"3.2",1614
2024-09-16T07:42:03Z,"3.3",3
2024-09-16T07:42:03Z,"4.0",112
2024-09-16T07:42:03Z,"4.1",754
2024-09-16T07:42:03Z,"4.2",1129
2024-09-16T07:42:03Z,"4.3",486
2024-09-16T07:42:03Z,"4.4",0
2024-09-16T07:42:03Z,"5.0",0
2024-09-17T05:06:54Z,"1.8",0
2024-09-17T05:06:54Z,"1.9",342
